symbol,name
sz399337,深证民营
sz399339,深证科技
sz399341,深证责任
sz399344,深证300R
sz399346,深证成长
sz399348,深证价值
sz399350,皖江30
sz399351,创新示范
sz399352,深企综指
sz399353,国证物流
sz399354,分析师指数
sz399355,长三角
sz399356,珠三角
sz399357,环渤海
sz399358,国证环保
sz399359,国证基建
sz399360,新硬件
sz399361,在线消费
sz399362,民企100
sz399363,云科技
sz399364,消费100
sz399365,国证农业
sz399366,国证大宗
sz399367,1000地产
sz399368,国证军工
sz399369,国证责任
sz399370,国证成长
sz399371,国证价值
sz399372,大盘成长
sz399373,大盘价值
sz399374,中盘成长
sz399375,中盘价值
sz399376,小盘成长
sz399377,小盘价值
sz399378,ESG 300
sz399379,国证基金
sz399380,国证ETF
sz399381,1000能源
sz399382,1000材料
sz399383,1000工业
sz399384,1000可选
sz399385,1000消费
sz399386,1000医药
sz399387,1000金融
sz399388,1000信息
sz399389,国证通信
sz399390,1000公用
sz399391,投资时钟
sz399392,国证新兴
sz399393,国证地产
sz399394,国证医药
sz399395,国证有色
sz399396,国证食品
sz399397,国证文化
sz399398,绩效指数
sz399399,中经GDP
sz399400,大中盘
sz399401,中小盘
sz399402,周期100
sz399403,防御100
sz399404,大盘低波
sz399405,大盘高贝
sz399406,中盘低波
sz399407,中盘高贝
sz399408,小盘低波
sz399409,小盘高贝
sz399410,苏州率先
sz399411,红利100
sz399412,国证新能
sz399413,国证转债
sz399415,I100
sz399416,I300
sz399417,新能源车
sz399418,国证国安
sz399419,国证高铁
sz399420,国证保证
sz399422,中关村A
sz399423,中关村50
sz399427,专利领先
sz399428,国证定增
sz399429,新丝路
sz399431,国证银行
sz399432,智能汽车
sz399433,国证交运
sz399434,国证传媒
sz399435,国证农牧
sz399436,国证煤炭
sz399437,证券龙头
sz399438,国证电力
sz399439,国证油气
sz399440,国证钢铁
sz399441,生物医药
sz399481,企债指数
sz399550,央视50
sz399551,央视创新
sz399552,央视成长
sz399553,央视回报
sz399554,央视治理
sz399555,央视责任
sz399556,央视生态
sz399557,央视文化
sz399602,中小成长
sz399604,中小价值
sz399606,创业板R
sz399608,科技100
sz399610,TMT50
sz399611,中创100R
sz399612,中创100
sz399613,深证能源
sz399614,深证材料
sz399615,深证工业
sz399616,深证可选
sz399617,深证消费
sz399618,深证医药
sz399619,深证金融
sz399620,深证信息
sz399621,深证电信
sz399622,深证公用
sz399623,中小基础
sz399624,中创400
sz399625,中创500
sz399626,中创成长
sz399627,中创价值
sz399628,700成长
sz399629,700价值
sz399630,1000成长
sz399631,1000价值
sz399632,深100EW
sz399633,深300EW
sz399634,中小等权
sz399635,创业板EW
sz399636,深证装备
sz399637,深证地产
sz399638,深证环保
sz399639,深证大宗
sz399640,创业基础
sz399641,深证新兴
sz399642,中小新兴
sz399643,创业新兴
sz399644,深证时钟
sz399645,100低波
sz399646,深消费50
sz399647,深医药50
sz399648,深证GDP
sz399649,中小红利
sz399650,中小治理
sz399651,中小责任
sz399652,中创高新
sz399653,深证龙头
sz399654,深证文化
sz399655,深证绩效
sz399656,100绩效
sz399657,300绩效
sz399658,中小绩效
sz399659,深成指EW
sz399660,中创EW
sz399661,深证低波
sz399662,深证高贝
sz399663,中小低波
sz399664,中小高贝
sz399665,中创低波
sz399666,中创高贝
sz399667,创业板G
sz399668,创业板V
sz399669,深证农业
sz399670,深周期50
sz399671,深防御50
sz399672,深红利50
sz399673,创业板50
sz399674,深A医药
sz399675,深互联网
sz399676,深医药EW
sz399677,深互联EW
sz399678,深次新股
sz399679,深证200R
sz399680,深成能源
sz399681,深成材料
sz399682,深成工业
sz399683,深成可选
