symbol,name
hk0001,长和
hk0002,中电控股
hk0003,香港中华煤气
hk0004,九龙仓集团
hk0005,汇丰控股
hk0006,电能实业
hk0007,智富资源投资
hk0008,电讯盈科
hk0009,金奥国际
hk0010,恒隆集团
hk0011,恒生银行
hk0012,恒基地产
hk0013,和黄医药
hk0014,希慎兴业
hk0016,新鸿基地产
hk0017,新世界发展
hk0018,东方报业集团
hk0019,太古股份公司A
hk0021,大中华地产控股
hk0022,茂盛控股
hk0023,东亚银行
hk0024,宝威控股
hk0025,其士国际
hk0026,中华汽车
hk0027,银河娱乐
hk0028,天安
hk0029,达力集团
hk0030,万隆控股集团
hk0031,航天控股
hk0032,港通控股
hk0033,安山金控
hk0034,九龙建业
hk0035,远东发展
hk0036,远东控股国际
hk0037,远东酒店实业
hk0038,第一拖拉机股份
hk0039,中国北大荒
hk0040,金山工业
hk0041,鹰君
hk0042,东北电气
hk0043,卜蜂国际
hk0045,大酒店
hk0046,科联系统
hk0047,合兴集团
hk0048,中国汽车内饰
hk0050,香港小轮(集团)
hk0051,海港企业
hk0052,大快活集团
hk0053,国浩集团
hk0055,中星集团控股
hk0057,震雄集团
hk0058,新威国际
hk0059,天誉置业
hk0060,香港食品投资
hk0061,绿领控股
hk0062,载通
hk0063,中亚烯谷集团
hk0064,结好控股
hk0065,弘海高新资源
hk0066,港铁公司
hk0067,旭光高新材料
hk0068,利兴发展
hk0069,香格里拉(亚洲)
hk0070,金粤控股
hk0071,美丽华酒店
hk0072,现代传播
hk0073,亚洲果业
hk0075,渝太地产
hk0076,谊砾控股
hk0077,进智公共交通
hk0078,富豪酒店
hk0079,世纪建业
hk0080,中国新经济投资
hk0081,中国海外宏洋集团
hk0082,疯狂体育
hk0083,信和置业
hk0084,宝光实业
hk0085,中电华大科技
hk0086,新鸿基公司
hk0087,太古股份公司B
hk0088,大昌集团
hk0089,大生地产
hk0090,普星能量
hk0091,金禧国际控股
hk0092,冠军科技
hk0093,TERMBRAY IND
hk0094,绿心集团
hk0095,绿景中国地产
hk0096,友成控股
hk0097,恒基发展
hk0098,兴发铝业
hk0099,王氏国际
hk0100,白马户外媒体
hk0101,恒隆地产
hk0102,凯升控股
hk0103,首长宝佳
hk0104,冠亚商业
hk0105,凯联国际酒店
hk0106,朗诗地产
hk0107,四川成渝高速公路
hk0108,国锐地产
hk0109,天成国际
hk0110,中国长远
hk0111,信达国际控股
hk0112,勒泰集团
hk0113,迪生创建
hk0114,兴利集团
hk0115,钧濠集团
hk0116,周生生
hk0117,天利控股集团
hk0118,大同机械
hk0119,保利置业集团
hk0120,四海国际
hk0122,鳄鱼恤
hk0123,越秀地产(新)
hk0124,粤海置地
hk0125,新兴光学
hk0126,佳宁娜
hk0127,华人置业
hk0128,安宁控股
hk0129,泛海集团
hk0130,慕诗国际
hk0131,卓能(集团)
hk0132,中国兴业控股
hk0133,招商局中国基金
hk0135,昆仑能源
hk0136,恒腾网络
hk0137,金辉集团
hk0138,中建富通
hk0139,中达集团控股
hk0141,天禧海嘉控股
hk0142,第一太平
hk0143,国安国际
hk0144,招商局港口
hk0145,信能低碳
hk0146,TAI PING CARPET
hk0147,国际商业结算
hk0148,建滔集团
hk0149,中国农产品交易
hk0150,HYPEBEAST
hk0151,中国旺旺
hk0152,深圳国际
hk0153,中国赛特
hk0154,北京控股环境集团
hk0155,中国源畅
hk0156,力宝华润
hk0157,自然美
hk0158,万邦投资
hk0159,布莱克万矿业
hk0160,汉国置业
hk0162,世纪金花
hk0163,英皇国际
hk0164,中国宝力科技
hk0165,中国光大控股
hk0166,新时代能源
hk0167,万威国际
hk0168,青岛啤酒股份
hk0169,万达酒店发展
hk0171,银建国际
hk0172,金榜集团
hk0173,嘉华国际
hk0174,盛洋投资
hk0175,吉利汽车
hk0176,先机企业集团
hk0177,江苏宁沪高速公路
hk0178,莎莎国际
hk0179,德昌电机控股
hk0180,开达集团
hk0181,闽港控股
hk0182,协合新能源
hk0183,宏辉集团
hk0184,激成投资
hk0185,正商实业
hk0186,敏捷控股
hk0187,京城机电股份
hk0188,新华汇富金融
hk0189,东岳集团
hk0191,丽新国际
hk0193,冠中地产
hk0194,廖创兴企业
hk0195,绿科科技国际
hk0196,宏华集团
hk0197,亨泰
hk0199,德祥地产
hk0200,新濠国际发展
hk0201,华大酒店
hk0202,润中国际控股
hk0204,中国投资开发
hk0205,财讯传媒
hk0206,华商国际海洋控股
hk0207,大悦城地产
hk0209,瀛晟科学
