symbol,ipo_date,ipo_years,last_report,3yr_grow_rate,grow_rate,grow,share_grow,start_bvps,now_bvps,eps,roe,debt_ratio,cash_ratio,earn_ttm,assets,equity,shares,name
000001,1991-04-03,30.22,2021-03-31,0.129,0.163,31.189,3.95,2.434,19.201,2.088,0.155,0.919,0.062,405.28,45729.74,3726.17,194.06,平安银行
000002,1991-01-29,30.4,2021-03-31,0.2,0.223,88.048,12.2,4.238,30.594,0.863,0.12,0.814,0.099,100.282,19078.605,3554.32,116.177,万  科Ａ
000004,1991-01-14,30.44,2020-09-30,0.464,0.092,6.854,1.0,1.292,8.856,0.443,0.0,0.056,0.083,0.731,15.483,14.617,1.651,国华网安
000005,1990-12-10,30.53,2020-09-30,0.065,0.03,1.939,2.86,2.39,1.62,-0.035,0.007,0.417,0.011,-0.37,29.392,17.145,10.585,ST星源
000006,1992-04-27,29.15,2020-12-31,0.112,0.093,7.121,5.99,4.883,5.806,0.669,0.097,0.492,0.121,9.029,154.348,78.38,13.5,深振业Ａ
000007,1992-04-13,29.19,2020-09-30,0.0,0.0,0.366,2.28,3.01,0.483,-0.176,-0.203,0.65,0.042,-0.608,4.781,1.672,3.464,*ST全新
000008,1992-05-07,29.13,2020-12-31,0.022,0.138,17.1,8.7,1.22,2.398,-0.321,0.015,0.48,0.056,-8.92,128.283,66.686,27.808,神州高铁
000009,1991-06-25,29.99,2021-03-31,0.1,0.112,10.645,2.73,1.351,5.263,0.549,0.073,0.579,0.162,14.152,322.326,135.756,25.792,中国宝安
000010,1995-10-27,25.65,2020-12-31,0.0,0.045,2.64,8.0,3.018,0.996,0.093,-0.052,0.77,0.019,0.764,35.417,8.163,8.199,美丽生态
000011,1992-03-30,29.23,2020-12-31,0.119,0.089,6.492,1.1,1.075,6.344,1.227,0.125,0.69,0.341,7.313,122.074,37.811,5.96,深物业A
000012,1992-02-28,29.32,2021-03-31,0.085,0.071,4.597,3.71,2.942,3.646,0.753,0.117,0.388,0.11,23.134,182.919,111.949,30.707,南  玻Ａ
000014,1992-06-02,29.05,2021-03-31,0.052,0.063,3.994,2.34,2.743,4.682,-0.186,-0.065,0.603,0.151,-0.375,23.76,9.444,2.017,沙河股份
000016,1992-03-27,29.24,2020-12-31,0.34,0.065,4.04,5.28,5.818,4.452,0.224,0.022,0.785,0.086,5.401,498.763,107.209,24.079,深康佳Ａ
000017,1992-03-31,29.23,2020-09-30,0.136,0.0,0.112,1.51,0.676,0.05,0.015,5.588,0.716,0.2,0.08,0.96,0.273,5.513,*ST中华A
000019,1992-10-12,28.69,2020-09-30,0.192,0.072,4.54,1.98,1.78,4.081,0.361,0.015,0.34,0.03,4.162,71.307,47.036,11.525,深粮控股
000020,1992-04-28,29.15,2020-09-30,0.012,0.003,1.069,1.0,1.105,1.181,0.023,0.015,0.469,0.033,0.065,6.299,3.344,2.832,深华发Ａ
000021,1994-02-02,27.38,2020-09-30,0.096,0.079,5.434,2.47,2.31,5.08,0.482,0.079,0.66,0.05,7.089,220.011,74.734,14.713,深科技
000023,1993-04-29,28.15,2020-09-30,0.072,0.026,1.744,1.05,2.561,4.254,0.065,0.014,0.752,0.109,0.091,23.818,5.903,1.388,深天地Ａ
000025,1993-06-21,28.0,2020-12-31,0.111,0.053,3.113,1.45,1.496,3.212,0.14,-0.027,0.19,0.122,0.603,17.084,13.846,4.311,特  力Ａ
000026,1993-06-03,28.05,2021-03-31,0.054,0.061,3.764,1.4,2.486,6.683,1.085,0.069,0.34,0.117,4.73,44.121,29.119,4.358,飞亚达
000027,1993-09-03,27.8,2020-12-31,0.139,0.102,8.925,2.59,2.555,8.798,0.897,0.118,0.633,0.079,42.675,1140.623,418.536,47.574,深圳能源
000028,1993-08-09,27.87,2021-03-31,0.187,0.158,26.015,1.8,2.8,40.468,3.64,0.162,0.597,0.124,15.583,430.208,173.254,4.281,国药一致
000029,1993-09-15,27.77,2020-12-31,0.098,0.044,2.573,1.0,1.405,3.615,0.287,0.029,0.259,0.541,2.9,49.369,36.571,10.117,深深房Ａ
000030,1993-09-29,27.73,2020-09-30,0.091,0.055,3.304,1.4,1.874,4.423,0.526,204.917,0.416,0.085,9.525,137.105,80.089,18.106,富奥股份
000031,1993-10-08,27.7,2020-12-31,0.144,0.125,13.381,3.36,2.674,10.649,0.262,0.078,0.772,0.157,11.227,1998.714,456.463,42.863,大悦城
000032,1993-10-28,27.65,2021-03-31,0.053,0.059,3.567,1.87,2.303,4.388,0.17,0.066,0.29,0.139,0.701,25.531,18.134,4.132,深桑达Ａ
000034,1994-05-09,27.12,2021-03-31,0.177,0.23,101.156,1.55,0.134,8.727,0.938,0.16,0.822,0.145,6.188,323.132,57.563,6.596,神州数码
000035,1994-04-08,27.21,2021-03-31,0.54,0.211,71.215,4.53,2.216,34.802,1.796,9.663,0.76,0.039,6.398,516.967,123.959,3.562,中国天楹
000036,1994-06-17,27.01,2020-12-31,0.097,0.079,5.388,4.88,3.552,3.926,0.521,0.098,0.463,0.374,7.729,108.445,58.255,14.839,华联控股
000037,1994-07-01,26.98,2021-03-31,0.007,0.059,3.56,1.69,1.636,3.438,-0.104,-0.017,0.25,0.212,-0.628,27.644,20.72,6.028,深南电A
000038,1994-08-08,26.87,2020-12-31,0.0,0.074,4.806,1.6,1.852,5.563,0.152,-0.004,0.102,0.188,0.794,32.385,29.081,5.228,深大通
000039,1994-04-08,27.21,2020-12-31,0.081,0.151,22.267,7.6,5.115,14.98,1.672,0.137,0.632,0.077,60.117,1462.115,538.538,35.95,中集集团
000040,1994-08-08,26.87,2020-09-30,0.024,0.068,4.331,2.21,4.571,8.957,-0.181,0.046,0.561,0.017,-2.692,303.113,133.182,14.869,东旭蓝天
000042,1994-09-21,26.75,2020-12-31,0.087,0.071,4.544,2.0,5.426,12.329,0.241,0.087,0.816,0.089,1.6,444.438,81.968,6.648,中洲控股
000045,1994-08-15,26.85,2020-12-31,0.031,0.098,7.757,1.5,1.485,7.679,0.086,0.025,0.215,0.056,0.435,49.695,38.993,5.078,深纺织Ａ
000046,1994-09-12,26.78,2020-09-30,0.121,0.153,22.005,7.08,2.37,7.362,-0.099,0.066,0.791,0.088,-5.13,1827.057,382.557,51.962,泛海控股
000048,1994-11-01,26.64,2020-12-31,0.354,0.076,5.18,2.62,3.49,6.91,2.181,0.067,0.719,0.357,8.777,99.038,27.812,4.025,京基智农
000049,1995-03-20,26.26,2020-12-31,0.168,0.121,13.003,2.25,2.357,13.621,3.573,0.147,0.688,0.053,7.403,90.393,28.223,2.072,德赛电池
000050,1995-03-15,26.27,2020-12-31,0.086,0.14,17.883,3.75,2.864,13.658,0.6,0.042,0.544,0.062,14.745,735.578,335.683,24.577,深天马Ａ
000055,1996-04-15,25.18,2020-12-31,0.266,0.083,5.962,4.16,3.493,5.006,0.351,0.063,0.541,0.086,3.818,118.669,54.474,10.883,方大集团
000056,1996-07-08,24.95,2020-12-31,0.0,0.077,5.13,2.4,1.925,4.115,-0.272,-0.266,0.589,0.009,-3.197,117.568,48.335,11.745,皇庭国际
000058,1996-12-26,24.48,2020-09-30,0.0,0.0,0.751,1.18,3.255,2.072,0.15,0.024,0.561,0.125,1.849,58.287,25.608,12.357,深 赛 格
000059,1997-01-30,24.39,2020-12-31,0.062,0.056,3.34,1.0,2.642,8.823,0.216,0.047,0.494,0.278,3.45,278.997,141.119,15.994,华锦股份
000060,1997-01-23,24.41,2020-12-31,0.098,0.127,14.824,21.92,5.32,3.597,0.308,0.121,0.473,0.061,10.998,243.483,128.415,35.697,中金岭南
000061,1997-01-10,24.44,2020-09-30,0.033,0.093,6.937,7.64,4.587,4.166,0.29,0.053,0.625,0.076,4.929,188.507,70.693,16.97,农 产 品
000062,1997-01-30,24.39,2020-12-31,0.106,0.066,4.181,2.45,3.419,5.833,0.688,0.075,0.502,0.148,7.197,122.41,61.01,10.459,深圳华强
000063,1997-11-18,23.59,2020-12-31,0.006,0.167,32.132,10.6,3.297,9.997,1.023,0.075,0.694,0.208,47.217,1506.349,461.225,46.134,中兴通讯
000065,1998-06-05,23.04,2020-12-31,0.142,0.171,32.094,9.49,2.393,8.092,1.019,0.07,0.656,0.264,7.841,180.814,62.273,7.695,北方国际
000066,1997-06-26,23.99,2020-09-30,0.0,0.071,4.418,5.9,3.761,2.818,-0.06,0.069,0.689,0.14,-1.749,264.966,82.509,29.282,中国长城
000068,1997-06-11,24.03,2020-09-30,0.023,0.0,0.69,1.46,1.838,0.868,-0.111,-0.277,0.766,0.134,-1.112,37.317,8.74,10.067,华控赛格
000069,1997-09-10,23.78,2020-12-31,0.231,0.237,119.951,29.16,3.271,13.457,1.917,0.124,0.758,0.131,157.229,4565.883,1103.755,82.018,华侨城Ａ
000070,2000-05-11,21.11,2020-09-30,0.155,0.062,3.396,2.65,3.309,4.237,0.016,0.039,0.644,0.083,0.127,97.221,34.595,8.166,特发信息
000078,1998-12-18,22.51,2020-09-30,0.078,0.16,25.235,19.85,2.318,2.947,0.205,0.068,0.798,0.04,5.669,403.238,81.409,27.626,海王生物
000088,1997-07-28,23.9,2020-12-31,0.07,0.082,5.684,3.12,2.402,4.376,0.17,0.122,0.249,0.109,3.832,131.102,98.432,22.492,盐 田 港
000089,1998-04-20,23.17,2020-12-31,0.027,0.095,7.313,4.32,3.439,5.822,0.019,0.093,0.21,0.018,0.385,151.177,119.394,20.508,深圳机场
000090,1999-07-21,21.92,2020-12-31,0.149,0.106,9.229,4.16,2.664,5.907,0.797,0.07,0.775,0.169,14.888,489.986,110.373,18.685,天健集团
000096,2000-07-24,20.91,2020-12-31,0.055,0.083,5.39,1.6,1.608,5.417,0.252,0.071,0.07,0.555,1.331,30.762,28.602,5.28,广聚能源
000099,2000-07-31,20.89,2020-12-31,0.057,0.108,8.604,2.4,1.655,5.933,0.352,0.063,0.348,0.114,2.136,55.125,35.959,6.061,中信海直
000100,2004-01-30,17.39,2020-12-31,0.144,0.089,4.636,2.0,2.769,6.419,0.361,0.038,0.651,0.071,50.652,2579.083,900.571,140.308,TCL科技
000150,2000-08-07,20.87,2020-09-30,0.0,0.042,2.345,3.53,1.217,0.809,-0.303,0.029,0.875,0.018,-2.659,57.022,7.104,8.777,宜华健康
000151,2000-09-06,20.79,2020-12-31,0.0,0.0,0.849,1.5,3.807,2.154,-0.982,0.053,0.647,0.229,-2.907,18.05,6.376,2.96,中成股份
000153,2000-09-20,20.75,2021-03-31,0.065,0.137,15.417,4.32,1.324,4.725,0.341,0.038,0.61,0.07,1.064,37.84,14.75,3.121,丰原药业
000155,2000-09-26,20.73,2021-03-31,0.129,0.097,7.133,2.7,1.626,4.292,0.718,-0.017,0.491,0.05,9.122,107.163,54.504,12.7,川能动力
000156,2000-09-06,20.79,2020-09-30,0.012,0.077,4.702,1.54,2.246,6.855,0.406,0.023,0.299,0.112,6.261,150.868,105.704,15.419,华数传媒
000157,2000-10-12,20.69,2020-12-31,0.052,0.276,147.455,43.26,1.77,6.033,0.927,0.166,0.588,0.087,73.552,1162.749,478.869,79.377,中联重科
000158,2000-07-24,20.91,2020-09-30,0.014,0.067,3.82,1.86,1.784,3.666,-0.059,0.019,0.58,0.076,-0.945,139.375,58.6,15.986,常山北明
000159,2000-09-26,20.73,2020-12-31,0.0,0.101,7.193,2.94,1.863,4.564,0.177,0.039,0.181,0.021,0.85,26.794,21.94,4.807,国际实业
000166,2015-01-26,6.39,2020-12-31,0.075,0.076,1.836,1.35,2.646,3.598,0.315,0.11,0.817,0.251,78.763,4911.243,900.906,250.399,申万宏源
000301,2000-05-29,21.06,2020-12-31,0.003,0.053,3.115,1.7,1.573,2.882,0.04,0.062,0.642,0.204,3.127,629.336,225.479,78.233,东方盛虹
000333,2013-09-18,7.75,2021-03-31,0.108,0.114,3.11,3.75,21.276,17.647,3.729,0.254,0.663,0.075,262.777,3691.745,1243.691,70.477,美的集团
000338,2007-04-30,14.14,2021-03-31,0.146,0.221,25.771,15.36,6.536,10.966,2.202,0.196,0.693,0.166,174.684,2835.387,870.047,79.339,潍柴动力
000400,1997-04-18,24.18,2020-12-31,0.051,0.1,8.569,5.11,5.441,9.123,0.796,0.08,0.453,0.095,8.026,168.061,91.992,10.083,许继电气
000401,1996-06-14,25.02,2021-03-31,0.147,0.125,13.678,1.0,1.649,22.555,-0.067,0.036,0.499,0.125,-0.897,606.527,303.936,13.475,冀东水泥
000402,1996-06-26,24.99,2021-03-31,0.056,0.241,121.56,19.18,2.125,13.465,0.643,0.112,0.758,0.115,19.213,1662.04,402.473,29.889,金 融 街
000403,1996-06-28,24.98,2020-12-31,0.176,0.073,4.875,4.69,1.888,1.964,0.371,0.189,0.415,0.06,1.827,16.526,9.669,4.924,派林生物
000404,1996-06-19,25.01,2021-03-31,0.036,0.082,6.046,2.71,2.861,6.388,0.169,0.062,0.623,0.227,1.179,117.977,44.458,6.96,长虹华意
000407,1996-07-03,24.97,2020-09-30,0.036,0.092,7.034,4.91,2.278,3.266,0.267,0.053,0.558,0.042,2.352,65.082,28.746,8.801,胜利股份
000408,1996-06-28,24.98,2020-12-31,0.083,0.065,3.963,2.93,2.931,3.971,0.115,-0.019,0.088,0.052,2.289,86.776,79.171,19.938,藏格控股
000409,1996-06-27,24.98,2020-12-31,0.0,0.0,0.543,1.28,2.634,1.117,0.195,-0.074,0.427,0.182,0.994,9.964,5.705,5.109,云鼎科技
000410,1996-07-18,24.93,2020-09-30,0.0,0.0,0.386,3.63,2.974,0.316,-0.434,-0.513,0.91,0.171,-7.31,59.258,5.323,16.84,*ST沈机
000411,1996-07-16,24.93,2020-12-31,0.12,0.112,10.293,1.8,2.252,12.878,1.377,0.069,0.715,0.14,3.428,112.503,32.058,2.489,英特集团
000413,1996-09-25,24.74,2020-09-30,0.036,0.118,12.034,3.0,1.328,5.327,-0.283,0.001,0.535,0.01,-16.223,655.938,305.277,57.303,东旭光电
000415,1996-07-16,24.93,2020-09-30,0.071,0.166,30.546,8.58,2.218,7.898,-0.7,0.026,0.822,0.098,-43.311,2738.245,488.483,61.845,渤海租赁
000416,1996-07-19,24.92,2020-12-31,0.006,0.062,3.785,5.65,2.598,1.74,0.071,0.09,0.049,0.048,0.376,9.734,9.256,5.319,民生控股
000417,1996-08-12,24.86,2021-03-31,0.044,0.104,8.961,8.54,6.073,6.371,0.638,0.12,0.594,0.18,4.975,122.455,49.69,7.799,合肥百货
000419,1996-08-16,24.85,2020-09-30,0.135,0.091,6.683,2.4,2.218,6.176,0.463,0.069,0.341,0.206,2.515,50.957,33.573,5.436,通程控股
000420,1996-08-02,24.88,2021-03-31,0.002,0.005,1.115,2.0,2.55,1.422,0.058,-0.033,0.646,0.012,1.262,87.05,30.827,21.683,吉林化纤
000421,1996-08-06,24.87,2020-12-31,0.019,0.105,9.395,2.17,1.557,6.731,1.034,0.07,0.649,0.106,5.92,109.95,38.543,5.726,南京公用
000422,1996-08-15,24.85,2020-09-30,0.0,0.023,1.649,4.1,3.285,1.322,0.11,0.033,0.946,0.101,0.987,219.696,11.872,8.979,湖北宜化
000423,1996-07-29,24.9,2020-12-31,0.039,0.144,19.395,3.41,2.626,14.949,0.063,0.171,0.107,0.131,0.41,109.5,97.77,6.54,东阿阿胶
000425,1996-08-28,24.81,2020-09-30,0.101,0.131,14.634,9.66,2.773,4.201,0.416,0.09,0.626,0.166,32.588,879.584,329.063,78.337,徐工机械
000426,1996-08-28,24.81,2020-09-30,0.023,0.065,3.92,5.53,4.007,2.842,-0.088,0.03,0.432,0.018,-1.613,91.844,52.206,18.372,兴业矿业
000428,1996-08-08,24.87,2020-09-30,0.0,0.052,3.125,4.06,2.566,1.977,-0.578,0.022,0.679,0.021,-5.893,62.683,20.143,10.189,华天酒店
000429,1998-02-20,23.33,2020-12-31,0.037,0.04,2.391,1.5,3.07,4.894,0.653,0.105,0.482,0.144,13.644,197.486,102.323,20.908,粤高速Ａ
000430,1996-08-29,24.81,2020-12-31,0.152,0.074,4.811,2.62,2.036,3.735,-0.228,-0.017,0.459,0.013,-0.922,27.956,15.121,4.048,张家界
000488,2000-11-20,20.58,2021-03-31,0.0,0.113,10.784,4.94,3.903,8.517,1.67,0.084,0.72,0.047,49.844,909.246,254.171,29.842,晨鸣纸业
000498,1997-06-09,24.03,2020-09-30,0.262,0.052,3.101,2.21,3.461,4.856,0.661,0.092,0.769,0.076,11.316,359.127,83.111,17.117,山东路桥
000501,1992-11-20,28.59,2020-12-31,0.131,0.081,5.584,1.3,3.002,12.894,0.712,0.147,0.565,0.083,5.474,228.022,99.152,7.69,鄂武商Ａ
000502,1992-11-23,28.58,2020-09-30,0.0,0.08,5.339,1.51,0.31,1.096,-0.052,-0.04,0.149,0.257,-0.096,2.381,2.026,1.848,*ST绿景
000503,1992-11-30,28.56,2021-03-31,0.0,0.06,3.744,4.51,1.215,1.009,-0.251,0.0,0.258,0.329,-2.255,12.226,9.068,8.988,国新健康
000504,1992-12-08,28.54,2020-12-31,0.14,0.0,0.382,1.0,1.132,0.432,0.047,-0.603,0.758,0.121,0.146,5.561,1.345,3.116,南华生物
000505,1992-12-21,28.5,2020-12-31,0.0,0.073,4.755,1.13,1.013,4.263,0.302,-0.377,0.456,0.059,2.192,56.955,30.992,7.27,京粮控股
000506,1993-03-12,28.28,2020-09-30,0.0,0.024,1.688,1.62,1.022,1.065,-0.111,-0.281,0.633,0.021,-1.035,26.948,9.898,9.29,中润资源
000507,1993-03-26,28.24,2020-12-31,0.143,0.072,4.615,1.8,2.459,6.305,0.309,0.046,0.565,0.104,2.875,134.873,58.666,9.304,珠海港
000509,1993-05-07,28.13,2020-12-31,0.509,0.0,0.291,5.39,2.592,0.14,0.012,-2.271,0.45,0.583,0.131,2.725,1.497,10.731,*ST华塑
000510,1993-05-07,28.13,2020-09-30,0.064,0.027,1.781,2.11,2.084,1.757,0.079,0.012,0.349,0.056,0.482,16.447,10.703,6.092,新金路
000513,1993-10-28,27.65,2021-03-31,0.072,0.119,12.332,2.86,3.485,15.047,2.546,0.152,0.338,0.477,23.91,213.589,141.309,9.391,丽珠集团
000514,1993-07-12,27.95,2021-03-31,0.031,0.085,6.203,3.43,2.496,4.519,-0.105,-0.004,0.522,0.137,-0.884,79.777,38.132,8.438,渝 开 发
000516,1993-08-09,27.87,2020-09-30,0.069,0.149,20.605,16.64,1.841,2.279,-0.342,0.115,0.578,0.058,-6.75,106.521,44.923,19.71,国际医学
000517,1993-08-06,27.88,2020-12-31,0.301,0.114,10.675,6.66,2.063,3.308,0.558,0.091,0.845,0.12,17.777,677.68,105.319,31.839,荣安地产
000518,1993-09-08,27.79,2020-12-31,0.029,0.057,3.518,6.34,1.198,0.665,0.027,0.015,0.168,0.066,0.277,8.237,6.85,10.296,四环生物
000519,1993-10-08,27.7,2020-12-31,0.039,0.107,9.317,3.82,2.509,6.116,0.197,0.032,0.3,0.437,2.746,121.667,85.175,13.926,中兵红箭
000520,1993-10-25,27.66,2020-09-30,0.13,0.0,0.416,2.29,2.293,0.416,0.014,2.215,0.338,0.123,0.145,6.357,4.21,10.121,长航凤凰
000521,1993-10-18,27.68,2021-03-31,0.0,0.033,2.044,1.44,3.36,4.77,0.044,0.038,0.697,0.253,0.455,164.707,49.825,10.446,长虹美菱
000523,1993-11-08,27.62,2020-09-30,0.0,0.007,1.161,2.4,2.259,1.093,-2.562,-0.019,0.919,0.081,-16.075,84.564,6.861,6.275,*ST浪奇
000524,1993-11-18,27.59,2020-12-31,0.0,0.012,1.29,1.0,2.763,3.563,-0.391,0.026,0.321,0.462,-2.617,35.187,23.88,6.702,岭南控股
000525,1993-10-28,27.65,2020-09-30,0.0,0.126,13.296,2.71,1.643,8.071,0.226,0.08,0.615,0.005,1.314,121.655,46.871,5.808,ST红太阳
000526,1993-11-01,27.64,2020-12-31,0.31,0.013,1.334,1.52,1.56,1.372,0.445,0.055,0.962,0.282,0.428,35.151,1.32,0.962,学大教育
000528,1993-11-18,27.59,2020-12-31,0.075,0.114,10.759,3.04,2.282,8.071,0.912,0.131,0.65,0.177,13.455,340.105,119.128,14.759,柳    工
000529,1993-11-18,27.59,2020-09-30,0.131,0.0,0.643,1.0,5.27,3.389,0.604,-0.002,0.44,0.485,3.526,35.324,19.785,5.838,广弘控股
000530,1993-12-08,27.54,2021-03-31,0.0,0.047,2.801,2.1,3.039,4.053,-0.149,0.057,0.412,0.062,-1.258,58.083,34.178,8.432,冰山冷热
000531,1994-01-06,27.46,2020-12-31,0.083,0.088,6.629,2.21,2.857,8.589,1.302,0.125,0.567,0.211,8.921,136.045,58.841,6.851,穗恒运Ａ
000532,1994-01-03,27.47,2021-03-31,0.101,0.041,2.438,1.95,2.748,3.436,0.047,0.042,0.542,0.224,0.161,25.86,11.845,3.447,华金资本
000533,1994-01-03,27.47,2021-03-31,0.0,0.0,0.627,1.2,2.603,1.359,0.027,-0.004,0.601,0.047,0.19,23.542,9.391,6.908,顺钠股份
000534,1994-01-10,27.45,2020-09-30,0.0,0.003,1.07,1.53,2.865,2.003,0.168,0.03,0.514,0.074,0.824,20.274,9.849,4.918,万泽股份
000536,1993-11-26,27.57,2020-12-31,0.0,0.124,13.15,3.48,0.533,2.014,0.222,-1.715,0.541,0.027,6.134,121.35,55.697,27.66,华映科技
000537,1993-12-10,27.53,2020-09-30,0.064,0.139,16.844,4.82,2.314,8.085,1.368,0.114,0.785,0.07,25.471,699.519,150.593,18.625,广宇发展
000538,1993-12-15,27.52,2021-03-31,0.191,0.239,117.626,9.54,2.496,30.763,2.386,0.199,0.27,0.255,30.475,537.975,392.967,12.774,云南白药
000539,1993-11-26,27.57,2020-12-31,0.051,0.064,3.914,2.59,4.508,6.808,0.502,0.092,0.584,0.067,26.353,859.708,357.434,52.503,粤电力Ａ
000540,1994-02-02,27.38,2020-09-30,0.092,0.224,81.895,59.96,2.252,3.076,0.122,0.164,0.838,0.043,8.575,1332.411,215.464,70.053,中天金融
000541,1993-11-23,27.58,2020-12-31,0.06,0.073,4.713,4.29,4.11,4.511,0.23,0.096,0.259,0.103,3.222,85.193,63.122,13.993,佛山照明
000543,1993-12-20,27.5,2020-12-31,0.007,0.079,5.57,1.8,2.759,8.537,0.586,0.07,0.426,0.029,13.288,336.92,193.53,22.669,皖能电力
000544,1993-12-08,27.54,2020-12-31,0.069,0.079,5.383,1.5,1.962,7.041,0.531,0.014,0.576,0.16,5.175,161.877,68.623,9.747,中原环保
000545,1993-12-15,27.52,2020-09-30,0.014,0.052,3.042,3.46,2.311,2.03,-0.072,-0.345,0.34,0.066,-0.713,30.366,20.034,9.868,金浦钛业
000546,1993-12-15,27.52,2021-03-31,0.099,0.058,3.512,1.0,2.095,7.357,-0.205,-0.048,0.465,0.036,-1.466,98.343,52.573,7.146,金圆股份
000547,1993-11-30,27.56,2021-03-31,0.0,0.197,55.278,5.94,2.806,26.113,2.162,0.059,0.241,0.086,7.898,125.62,95.4,3.653,航天发展
000548,1993-12-20,27.5,2020-12-31,0.038,0.097,8.108,1.9,0.842,3.593,0.168,0.045,0.208,0.182,0.836,22.637,17.939,4.992,湖南投资
000550,1993-12-01,27.56,2020-12-31,0.0,0.081,5.57,1.0,2.285,12.727,0.638,0.169,0.61,0.395,5.507,281.852,109.865,8.632,江铃汽车
000551,1994-01-06,27.46,2020-12-31,0.065,0.074,4.805,1.5,2.069,6.628,0.509,0.078,0.47,0.177,2.036,50.004,26.518,4.001,创元科技
000552,1994-01-06,27.46,2020-12-31,0.08,0.123,12.946,4.18,1.205,3.732,0.195,0.076,0.37,0.392,4.454,135.428,85.34,22.87,靖远煤电
000553,1993-12-03,27.55,2020-12-31,0.283,0.078,5.261,2.0,3.476,9.144,0.15,0.07,0.542,0.082,3.528,468.01,214.339,23.441,安道麦A
000554,1993-12-15,27.52,2020-09-30,0.0,0.006,1.138,1.5,2.496,1.894,0.003,0.038,0.381,0.21,0.014,14.72,9.107,4.808,泰山石油
000555,1994-04-08,27.21,2020-12-31,0.047,0.113,10.629,2.8,1.535,5.827,0.478,-0.046,0.528,0.148,4.664,120.519,56.859,9.758,神州信息
000557,1994-06-17,27.01,2020-12-31,0.069,0.162,29.308,26.24,3.159,3.529,0.118,0.247,0.059,0.169,1.717,54.723,51.472,14.584,西部创业
000558,1994-05-09,27.12,2020-12-31,0.0,0.05,3.005,3.83,1.204,0.946,-0.057,0.024,0.437,0.142,-0.732,21.659,12.194,12.892,莱茵体育
000559,1994-01-10,27.45,2020-12-31,0.118,0.087,6.609,9.67,3.917,2.677,0.134,0.136,0.429,0.31,4.436,154.901,88.45,33.038,万向钱潮
000560,1994-02-02,27.38,2020-09-30,0.162,0.088,6.316,3.27,2.272,4.39,0.145,0.213,0.47,0.166,3.408,194.942,103.402,23.555,我爱我家
000561,1994-05-09,27.12,2020-12-31,0.077,0.007,1.163,1.1,2.671,2.823,0.182,-0.029,0.522,0.15,1.103,35.725,17.072,6.047,烽火电子
000563,1994-01-10,27.45,2020-09-30,0.044,0.132,18.024,11.4,1.859,2.938,0.181,0.07,0.318,0.072,7.174,170.685,116.474,39.64,陕国投Ａ
000564,1994-01-10,27.45,2020-09-30,0.017,0.05,2.982,1.5,2.543,5.056,-0.052,0.042,0.399,0.089,-3.093,503.508,302.422,59.82,*ST大集
000565,1994-04-08,27.21,2020-12-31,0.05,0.081,5.509,4.77,2.39,2.758,0.127,0.051,0.247,0.151,0.551,15.886,11.958,4.336,渝三峡Ａ
000566,1994-05-25,27.08,2020-09-30,0.0,0.109,9.574,4.0,1.456,3.485,-0.006,0.033,0.57,0.048,-0.077,108.337,46.562,13.36,海南海药
000567,1994-05-25,27.08,2020-09-30,0.666,0.084,6.016,2.17,2.451,6.779,0.241,0.022,0.287,0.175,1.543,60.922,43.46,6.411,海德股份
000568,1994-05-09,27.12,2021-03-31,0.168,0.135,16.786,2.69,2.772,17.311,5.953,0.262,0.317,0.334,87.194,371.08,253.562,14.648,泸州老窖
000570,1994-07-01,26.98,2020-12-31,0.0,0.015,1.391,1.5,4.404,4.084,0.093,0.036,0.42,0.159,0.523,39.53,22.928,5.614,苏常柴Ａ
000571,1994-05-25,27.08,2020-09-30,0.0,0.0,0.784,1.44,2.77,1.508,-0.071,0.019,0.619,0.015,-0.575,32.224,12.274,8.141,ST大洲
000572,1994-08-08,26.87,2020-09-30,0.0,0.06,3.531,1.6,1.516,3.346,-0.175,-0.144,0.451,0.097,-2.877,100.239,55.034,16.446,海马汽车
000573,1994-08-15,26.85,2021-03-31,0.0,0.009,1.232,1.59,3.308,2.569,0.401,0.017,0.47,0.24,2.562,30.909,16.396,6.383,粤宏远Ａ
000576,1994-09-07,26.79,2020-12-31,0.073,0.029,1.893,1.97,4.081,3.921,1.558,-0.002,0.106,0.237,6.9,19.433,17.366,4.429,甘化科工
000581,1998-09-24,22.74,2020-12-31,0.088,0.123,12.759,2.54,3.701,18.628,2.798,0.135,0.313,0.035,28.227,273.507,187.945,10.09,威孚高科
000582,1995-11-02,25.64,2020-12-31,0.054,0.079,5.577,1.3,1.716,7.362,0.721,0.06,0.38,0.135,11.788,194.162,120.335,16.346,北部湾港
000584,1995-11-28,25.56,2020-09-30,0.07,0.039,2.299,2.25,3.236,3.306,-0.053,0.052,0.509,0.09,-0.404,51.246,25.155,7.609,哈工智能
000585,1995-12-13,25.52,2020-09-30,0.0,0.0,0.065,1.0,1.986,0.129,0.25,-0.066,0.765,0.166,2.181,4.785,1.126,8.734,*ST东电
000586,1995-12-20,25.5,2020-12-31,0.012,0.0,0.609,1.0,2.317,1.412,0.118,-0.018,0.444,0.177,0.228,4.908,2.731,1.934,汇源通信
000587,1996-04-25,25.16,2019-12-31,0.0,0.0,0.271,6.0,2.126,0.096,-3.001,0.248,0.991,0.007,-63.739,223.876,2.038,21.237,*ST金洲
