symbol,ipo_date,ipo_years,last_report,3yr_grow_rate,grow_rate,grow,share_grow,start_bvps,now_bvps,eps,roe,debt_ratio,cash_ratio,earn_ttm,assets,equity,shares,name
002501,2010-11-17,10.58,2019-09-30,0.0,0.208,9.234,7.2,1.777,2.279,-1.326,0.045,0.764,0.001,-16.112,117.512,27.688,12.148,*ST利源
002502,2010-11-17,10.58,2020-09-30,0.0,0.186,8.791,6.4,1.333,1.831,0.042,0.028,0.053,0.253,0.364,16.598,15.711,8.58,鼎龙文化
002503,2010-11-17,10.58,2020-09-30,0.036,0.355,48.03,33.7,1.354,1.93,0.026,0.122,0.516,0.073,0.806,123.237,59.672,30.925,搜于特
002504,2010-11-18,10.58,2020-12-31,0.0,0.193,9.891,3.28,2.477,7.472,-0.776,0.049,0.838,0.004,-0.59,35.015,5.678,0.76,ST弘高
002505,2010-11-18,10.58,2020-09-30,0.0,0.21,11.437,15.8,1.387,1.004,0.012,0.038,0.551,0.104,0.774,142.647,63.995,63.743,鹏都农牧
002506,2010-11-18,10.58,2020-09-30,0.0,0.119,4.176,9.57,1.889,0.824,-0.068,0.182,0.681,0.014,-3.44,131.264,41.877,50.819,协鑫集成
002507,2010-11-23,10.57,2021-03-31,0.213,0.181,9.028,4.99,2.532,4.579,1.03,0.178,0.149,0.055,8.129,42.453,36.147,7.894,涪陵榨菜
002508,2010-11-23,10.57,2021-03-31,0.162,0.236,16.614,5.85,3.175,9.017,1.528,0.202,0.324,0.324,14.503,126.578,85.569,9.49,老板电器
002510,2010-11-25,10.56,2020-09-30,0.048,0.16,6.631,4.0,1.765,2.926,-0.195,0.07,0.574,0.107,-1.783,62.74,26.741,9.14,天汽模
002511,2010-11-25,10.56,2020-09-30,0.16,0.157,6.453,7.76,4.384,3.647,0.683,0.101,0.334,0.139,8.956,71.813,47.823,13.112,中顺洁柔
002512,2010-12-03,10.54,2020-09-30,0.0,0.121,4.303,6.75,2.094,1.335,0.007,0.024,0.691,0.042,0.075,49.491,15.284,11.447,达华智能
002513,2010-12-03,10.54,2021-03-31,0.0,0.157,6.893,2.88,1.426,3.413,0.015,0.042,0.495,0.083,0.049,22.972,11.606,3.401,*ST蓝丰
002514,2010-12-03,10.54,2020-09-30,0.016,0.164,6.905,6.4,1.636,1.765,-0.114,0.092,0.428,0.037,-0.63,17.095,9.78,5.54,宝馨科技
002515,2010-12-03,10.54,2021-03-31,0.0,0.118,4.391,10.61,3.428,1.419,0.246,0.077,0.103,0.036,2.402,15.473,13.88,9.783,金字火腿
002516,2010-12-07,10.53,2020-12-31,0.0,0.165,7.282,6.53,2.104,2.346,0.142,0.095,0.129,0.087,2.088,39.61,34.499,14.708,旷达科技
002517,2010-12-07,10.53,2020-09-30,0.0,0.118,4.138,6.0,2.845,1.962,0.176,0.117,0.159,0.182,2.66,35.361,29.726,15.152,恺英网络
002518,2010-12-07,10.53,2020-12-31,0.088,0.247,17.739,4.91,1.338,4.83,0.522,0.115,0.32,0.127,3.041,41.342,28.13,5.824,科士达
002519,2010-12-07,10.53,2021-03-31,0.0,0.122,4.599,10.2,5.685,2.563,0.193,0.088,0.257,0.059,2.169,38.852,28.875,11.264,银河电子
002520,2010-12-10,10.52,2020-09-30,0.051,0.212,11.628,7.59,2.449,3.75,0.158,0.092,0.542,0.039,1.192,61.79,28.329,7.554,日发精机
002521,2010-12-10,10.52,2021-03-31,0.013,0.16,7.16,2.8,2.816,7.201,0.73,0.079,0.288,0.122,3.613,50.02,35.623,4.947,齐峰新材
002522,2010-12-10,10.52,2020-12-31,0.053,0.159,6.829,6.4,2.076,2.215,0.149,0.071,0.399,0.11,1.345,33.363,20.066,9.058,浙江众成
