symbol,name,amount,cost
cash,-,573608.0,1.0
000963,华东医药,5599.0,42.48
002258,利尔化学,10100.0,23.66
002507,涪陵榨菜,6299.0,37.9
600585,海螺水泥,5400.0,43.89
603338,浙江鼎力,4400.0,54.25
603369,今世缘,4200.0,55.96
