symbol,name,amount,cost
cash,-,215070.03,1.0
002507,涪陵榨菜,1899.0,38.476
600276,恒瑞医疗,480.0,69.212
000651,格力电器,1300.0,55.206
603233,大参林,1260.0,52.869
601808,中海油服,1999.0,16.214
600009,上海机场,599.0,50.524
000333,美的集团,200.0,80.764
603882,金域医疗,100.0,129.753
300033,同花顺,100.0,122.16
002258,利尔化学,400.0,23.908
000963,华东医药,1500.0,48.07
002812,恩捷股份,300.0,191.75
603338,浙江鼎力,1199.0,59.84
603638,艾迪精密,1699.0,42.84
603899,晨光文具,799.0,83.04
